status,protein,ligand,type,tag,best_affinity_kcal_mol,min_rmsd_lb_modes2plus,results_dir,pymol_open
SKIP,abcb6_zebrafish.pdb,aeruginosin98A_2D.sdf,transporteur,abcb6_zebrafish__aeruginosin98A,-7.344,1.876,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__aeruginosin98A/out.pdb
SKIP,abcb6_xenope.pdb,microgininFR1_2D.sdf,transporteur,abcb6_xenope__microgininFR1,-6.061,1.624,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__microgininFR1/out.pdb
SKIP,abcb6_zebrafish.pdb,microcystineLR_2D.sdf,transporteur,abcb6_zebrafish__microcystineLR,-6.264,1.887,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__microcystineLR/out.pdb
SKIP,abcc1_rattus.pdb,aeruginosin98A_2D.sdf,transporteur,abcc1_rattus__aeruginosin98A,-8.008,2.72,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__aeruginosin98A/out.pdb
SKIP,abcb6_zebrafish.pdb,microgininFR1_2D.sdf,transporteur,abcb6_zebrafish__microgininFR1,-5.756,1.336,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_zebrafish__microgininFR1/out.pdb
SKIP,abcc1_rattus.pdb,cyanopeptolinA_2D.sdf,transporteur,abcc1_rattus__cyanopeptolinA,-6.905,1.776,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__cyanopeptolinA/out.pdb
SKIP,abcc1_rattus.pdb,microcystineLR_2D.sdf,transporteur,abcc1_rattus__microcystineLR,-7.106,2.835,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_rattus__microcystineLR/out.pdb
SKIP,abcc1_xenope.pdb,aeruginosin98A_2D.sdf,transporteur,abcc1_xenope__aeruginosin98A,-7.098,1.66,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__aeruginosin98A/out.pdb
SKIP,abcc1_xenope.pdb,microgininFR1_2D.sdf,transporteur,abcc1_xenope__microgininFR1,-7.16,2.032,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__microgininFR1/out.pdb
SKIP,abcc1_xenope.pdb,microcystineLR_2D.sdf,transporteur,abcc1_xenope__microcystineLR,-7.577,1.478,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_xenope__microcystineLR/out.pdb
SKIP,abcc1_zebrafish.pdb,aeruginosin98A_2D.sdf,transporteur,abcc1_zebrafish__aeruginosin98A,-7.296,3.3,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__aeruginosin98A/out.pdb
SKIP,abcc1_zebrafish.pdb,microcystineLR_2D.sdf,transporteur,abcc1_zebrafish__microcystineLR,-7.133,2.62,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__microcystineLR/out.pdb
SKIP,abcc1_zebrafish.pdb,cyanopeptolinA_2D.sdf,transporteur,abcc1_zebrafish__cyanopeptolinA,-6.447,1.726,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__cyanopeptolinA/out.pdb
SKIP,abcc3_rattus.pdb,aeruginosin98A_2D.sdf,transporteur,abcc3_rattus__aeruginosin98A,-6.752,1.523,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__aeruginosin98A/out.pdb
SKIP,abcc1_zebrafish.pdb,microgininFR1_2D.sdf,transporteur,abcc1_zebrafish__microgininFR1,-7.176,2.41,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc1_zebrafish__microgininFR1/out.pdb
SKIP,abcc3_rattus.pdb,microcystineLR_2D.sdf,transporteur,abcc3_rattus__microcystineLR,-6.433,1.468,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__microcystineLR/out.pdb
SKIP,abcc3_rattus.pdb,microgininFR1_2D.sdf,transporteur,abcc3_rattus__microgininFR1,-6.739,2.034,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_rattus__microgininFR1/out.pdb
SKIP,abcc3_xenope.pdb,aeruginosin98A_2D.sdf,transporteur,abcc3_xenope__aeruginosin98A,-6.553,2.6,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__aeruginosin98A/out.pdb
SKIP,abcc3_xenope.pdb,microcystineLR_2D.sdf,transporteur,abcc3_xenope__microcystineLR,-6.933,1.608,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__microcystineLR/out.pdb
SKIP,abcc3_xenope.pdb,microgininFR1_2D.sdf,transporteur,abcc3_xenope__microgininFR1,-6.608,1.931,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_xenope__microgininFR1/out.pdb
SKIP,abcc3_zebrafish.pdb,aeruginosin98A_2D.sdf,transporteur,abcc3_zebrafish__aeruginosin98A,-7.135,2.013,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_zebrafish__aeruginosin98A/out.pdb
SKIP,abcc5_xenope.pdb,aeruginosin98A_2D.sdf,transporteur,abcc5_xenope__aeruginosin98A,-7.084,1.927,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__aeruginosin98A/out.pdb
SKIP,abcc3_zebrafish.pdb,microgininFR1_2D.sdf,transporteur,abcc3_zebrafish__microgininFR1,-6.809,1.562,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc3_zebrafish__microgininFR1/out.pdb
SKIP,abcc5_xenope.pdb,cyanopeptolinA_2D.sdf,transporteur,abcc5_xenope__cyanopeptolinA,-6.236,1.695,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__cyanopeptolinA/out.pdb
SKIP,abcc5_xenope.pdb,microgininFR1_2D.sdf,transporteur,abcc5_xenope__microgininFR1,-6.31,2.238,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__microgininFR1/out.pdb
SKIP,abcc5_xenope.pdb,microcystineLR_2D.sdf,transporteur,abcc5_xenope__microcystineLR,-7.09,2.116,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_xenope__microcystineLR/out.pdb
SKIP,abcc5_zebrafish.pdb,aeruginosin98A_2D.sdf,transporteur,abcc5_zebrafish__aeruginosin98A,-7.699,2.431,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__aeruginosin98A/out.pdb
SKIP,abcc5_zebrafish.pdb,microgininFR1_2D.sdf,transporteur,abcc5_zebrafish__microgininFR1,-6.473,1.84,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__microgininFR1/out.pdb
SKIP,abcc5_zebrafish.pdb,cyanopeptolinA_2D.sdf,transporteur,abcc5_zebrafish__cyanopeptolinA,-5.948,2.351,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__cyanopeptolinA/out.pdb
SKIP,abcc5_zebrafish.pdb,microcystineLR_2D.sdf,transporteur,abcc5_zebrafish__microcystineLR,-7.268,2.142,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc5_zebrafish__microcystineLR/out.pdb
SKIP,abcc8_rattus.pdb,aeruginosin98A_2D.sdf,transporteur,abcc8_rattus__aeruginosin98A,-7.496,1.282,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__aeruginosin98A/out.pdb
SKIP,abcc8_rattus.pdb,microgininFR1_2D.sdf,transporteur,abcc8_rattus__microgininFR1,-6.637,1.758,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__microgininFR1/out.pdb
SKIP,abcc8_rattus.pdb,microcystineLR_2D.sdf,transporteur,abcc8_rattus__microcystineLR,-7.505,2.691,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_rattus__microcystineLR/out.pdb
SKIP,abcc8_xenope.pdb,aeruginosin98A_2D.sdf,transporteur,abcc8_xenope__aeruginosin98A,-6.803,2.442,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__aeruginosin98A/out.pdb
SKIP,abcc8_zebrafish.pdb,aeruginosin98A_2D.sdf,transporteur,abcc8_zebrafish__aeruginosin98A,-8.065,1.8,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__aeruginosin98A/out.pdb
SKIP,abcc8_xenope.pdb,microcystineLR_2D.sdf,transporteur,abcc8_xenope__microcystineLR,-6.259,1.625,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__microcystineLR/out.pdb
SKIP,abcc8_xenope.pdb,cyanopeptolinA_2D.sdf,transporteur,abcc8_xenope__cyanopeptolinA,-5.803,1.439,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_xenope__cyanopeptolinA/out.pdb
SKIP,abcc8_zebrafish.pdb,cyanopeptolinA_2D.sdf,transporteur,abcc8_zebrafish__cyanopeptolinA,-7.25,2.057,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__cyanopeptolinA/out.pdb
SKIP,abcc8_zebrafish.pdb,microgininFR1_2D.sdf,transporteur,abcc8_zebrafish__microgininFR1,-7.091,2.15,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__microgininFR1/out.pdb
SKIP,abcc8_zebrafish.pdb,microcystineLR_2D.sdf,transporteur,abcc8_zebrafish__microcystineLR,-7.573,1.479,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc8_zebrafish__microcystineLR/out.pdb
SKIP,abcc9_rattus.pdb,microcystineLR_2D.sdf,transporteur,abcc9_rattus__microcystineLR,-7.225,1.652,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc9_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc9_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc9_rattus__microcystineLR/out.pdb
SKIP,abcc9_rattus.pdb,microgininFR1_2D.sdf,transporteur,abcc9_rattus__microgininFR1,-6.179,1.701,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcc9_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc9_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcc9_rattus__microgininFR1/out.pdb
